ID Buku,Judul,Pencipta,Rating,ISBN,Kode Bahasa,Review,Tanggal Terbit,Penerbit
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,0871209993,eng,5,15/11/2004,ASCD
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,1852402873,eng,6,28/04/2003,Sovereign World
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,0761129588,eng,659,16/10/2003,Workman Publishing Company
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,0972016414,eng,8,10/05/2004,One Hour Entertainment
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,0441294677,eng,166,15/06/1987,Ace Books
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,0441102670,eng,568,01/07/1987,Ace Books
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,0441172695,eng,2359,15/07/1987,Ace Books
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,0765306476,en-US,21,01/07/2004,Tor Books
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,0399128980,eng,20,16/04/1984,Putnam
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,0765353709,eng,83,29/08/2006,Tor Science Fiction
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,0441328008,eng,644,15/08/1987,Ace Books
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,0618212906,eng,102,12/06/2002,Houghton Mifflin Harcourt
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,eng,4551,29/09/1996,Ballantine Books
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,0385732546,eng,13,13/09/2005,Delacorte Books for Young Readers
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,0785260056,en-US,1,01/11/2004,Thomas Nelson
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,0471780936,eng,16,19/05/2006,Wiley
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,0325001537,eng,0,07/02/2000,Heinemann Drama
132,How to Buy  Sell & Profit on eBay,Adam Ginsberg,3.48,006076287X,eng,9,03/05/2005,William Morrow Paperbacks
133,eBay for Dummies,Marsha Collier,3.5,0470045299,eng,9,30/10/2006,Wiley
135,What to Sell on ebay and Where to Get It,Chris Malta/Lisa Suttora,3.62,0072262788,eng,0,24/01/2006,McGraw-Hill
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,0764569244,eng,4,17/09/2004,Wiley
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,0471933821,eng,0,06/06/2006,Wiley
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,0764559915,en-US,1,31/05/2004,Wiley
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,0764584383,en-US,3,25/04/2005,Wiley
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,0596523696,eng,4,29/07/2006,O'Reilly Media
